Career rank,Career University,Type,Tuition,Undergrad enrollment,Where they stand out,Top industries,Top locations,Most notable skills,See alumni you may know,Institution,Short name
1,Princeton University,Private,"$65,210",5670,Top 5 school for job placement and entrepreneurship or C-suite experience,"Technology & Internet, Financial Services, Business Consulting & Services","New York City, San Francisco Bay Area, Washington, D.C.","Development Tools (OCaml, Go, AMPL), Scientific Computing, Web Development",https://www.linkedin.com/school/princeton-university/people/,Princeton University,Princeton
2,Duke University,Private,"$66,326",6525,,"Technology & Internet, Financial Services, Business Consulting & Services","New York City, Washington, D.C., Raleigh, N.C.","MATLAB, Web Development, AI Engineering",https://www.linkedin.com/school/duke-university/people/,Duke University,Duke
3,University of Pennsylvania,Private,"$63,204",10500,,"Financial Services, Technology & Internet, Business Consulting & Services","New York City, Philadelphia, Washington, D.C.","Scientific Computing, Data Science, Industrial Design",https://www.linkedin.com/school/university-of-pennsylvania/people/,University of Pennsylvania,Penn
4,Massachusetts Institute of Technology,Private,"$64,310",4535,"Top 5 school for entrepreneurship or C-suite experience, internships and recruiter demand","Technology & Internet, Manufacturing, Research Services","Boston, San Francisco Bay Area, New York City","AI Engineering, Robotics, Web Development",https://www.linkedin.com/school/massachusetts-institute-of-technology/people/,Massachusetts Institute of Technology,MIT
5,Cornell University,Private,"$48,010 (in-state); $71,266 (out-of-state)",16130,,"Technology & Internet, Financial Services, Higher Education","New York City, San Francisco Bay Area, Boston","Scientific Computing, Aerospace Engineering, Animation",https://www.linkedin.com/school/cornell-university/people/,Cornell University,Cornell
6,Harvard University,Private,"$59,320",7100,Top 5 school for entrepreneurship or C-suite experience,"Financial Services, Business Consulting & Services, Technology & Internet","New York City, Boston, San Francisco Bay Area","Data Science, Mathematics, C",https://www.linkedin.com/school/harvard-university/people/,Harvard University,Harvard
7,Babson College,Private,"$58,560",2800,Top 5 school for network strength and entrepreneurship or C-suite experience,"Financial Services, Technology & Internet, Business Consulting & Services","Boston, New York City, Miami","Data Science, Human Computer Interaction, Entrepreneurship",https://www.linkedin.com/school/babson-college/people/,Babson College,Babson
8,University of Notre Dame,Private,"$65,025",8925,Top 5 school for job placement,"Business Consulting & Services, Financial Services, Technology & Internet","Chicago, New York City, Washington, D.C.","Scientific Computing, Economics, Architecture",https://www.linkedin.com/school/university-of-notre-dame/people/,University of Notre Dame,ND
9,Dartmouth College,Private,"$66,123",4450,Top 5 school for network strength,"Financial Services, Technology & Internet, Business Consulting & Services","New York City, Boston, San Francisco Bay Area","MATLAB, SOLIDWORKS, Human Computer Interaction",https://www.linkedin.com/school/dartmouth-college/people/,Dartmouth College,Dartmouth
10,Stanford University,Private,"$65,127",7555,Top 5 school for entrepreneurship or C-suite experience,"Technology & Internet, Research Services, Financial Services","San Francisco Bay Area, New York City, Los Angeles","AI Engineering, MATLAB, Industrial Design",https://www.linkedin.com/school/stanford-university/people/,Stanford University,Stanford
11,Northwestern University,Private,"$67,158",8000,,"Technology & Internet, Business Consulting & Services, Financial Markets","Chicago, New York City, San Francisco Bay Area","MATLAB, SOLIDWORKS, Human Computer Interaction",https://www.linkedin.com/school/northwestern-university/people/,Northwestern University,NU
12,University of Virginia,Public,"$21,123 (in-state); $58,014 (out-of-state)",17900,,"Technology & Internet, Business Consulting & Services, Financial Services","Washington, D.C., New York City, Charlottesville, Va.","Stata, Data Science, 3D Modeling",https://www.linkedin.com/school/university-of-virginia/people/,University of Virginia,UVA
